"repeatClass","width","perc"
"DNA",1878641,0.970832605048206
"LINE",6989776,3.61213368748123
"LTR",11883907,6.14129277012511
"multiclass",6309187,3.26042306696504
"nonrepeat",146280770,75.5940815768193
"RC",2466070,1.27440057058865
"Satellite",22281,0.0115142388956054
"Simple",14926,0.00771336698334036
"snRNA",7094,0.0036659939287027
"tandem_repeat",12773698,6.60111352059231
"tRNA",7120,0.0036794300496706
"Unknown",4874761,2.5191491725228
